Picture,First Name,Last Name,District,Email,Twitter,Photo URL,Facebook
,Barbara,Harrington-McKinney,1,district1@cityofmadison.com,None,https://www.cityofmadison.com/council/district/images/alders/district1.jpg,https://www.facebook.com/pg/BarbaraMcKinneyMadisonAlder1/about/
,Patrick,Heck,2,district2@cityofmadison.com,,https://www.cityofmadison.com/council/district/images/alders/district2.jpg,https://www.facebook.com/LedellforAlder
,Lindsay,Lemmer,3,district3@cityofmadison.com,,https://www.cityofmadison.com/council/district/images/alders/district3.jpg?refresh=2,
,Michael,Verveer,4,district4@cityofmadison.com,,https://www.cityofmadison.com/council/district/images/alders/district4.jpg,
,Shiva,Bidar-Sielaff,5,district5@cityofmadison.com,https://twitter.com/ShivaBidar,https://www.cityofmadison.com/council/district/images/alders/district5.jpg,
,Marsha,Rummel,6,district6@cityofmadison.com,https://twitter.com/MarshaRummel,https://www.cityofmadison.com/council/district/images/alders/district6.jpg,
,Donna,Moreland,7,district7@cityofmadison.com,,https://www.cityofmadison.com/council/district/images/alders/district7.jpg,
,Avra,Reddy,8,district8@cityofmadison.com,https://twitter.com/ZachWood18,https://www.cityofmadison.com/council/district/images/alders/district8.jpg,
,Paul,Skidmore,9,district9@cityofmadison.com,,https://www.cityofmadison.com/council/district/images/alders/district9.jpg,
,Zachary,Henak,10,district10@cityofmadison.com,https://twitter.com/MoCheeks,https://www.cityofmadison.com/council/district/images/alders/district10.jpg,
,Arvina,Martin,11,district11@cityofmadison.com,https://twitter.com/Arvina4WI,https://www.cityofmadison.com/council/district/images/alders/district11.jpg,
,Syed,Abbas,12,district12@cityofmadison.com,https://twitter.com/larrypalm,https://www.cityofmadison.com/council/district/images/alders/district12.jpg,
,Tag,Evers,13,district13@cityofmadison.com,,https://www.cityofmadison.com/council/district/images/alders/district13.jpg,
,Sheri,Carter,14,district14@cityofmadison.com,,https://www.cityofmadison.com/council/district/images/alders/district14.jpg,
,Grant,Foster,15,district15@cityofmadison.com,https://twitter.com/davidmahrens,https://www.cityofmadison.com/council/district/images/alders/district15.jpg,
,Michael,Tierney,16,district16@cityofmadison.com,https://twitter.com/TierneyMike,https://www.cityofmadison.com/council/district/images/alders/district16.jpg,
,Samba,Baldeh,17,district17@cityofmadison.com,,https://www.cityofmadison.com/council/district/images/alders/district17.jpg,
,Rebecca,Kemble,18,district18@cityofmadison.com,https://twitter.com/rebeccakemble,https://www.cityofmadison.com/council/district/images/alders/district18.jpg,
,Keith,Furman,19,district19@cityofmadison.com,https://twitter.com/KeithWisconsin,https://www.cityofmadison.com/council/district/images/alders/district19.jpg,
,Christian,Albouras,20,district20@cityofmadison.com,,https://www.cityofmadison.com/council/district/images/alders/district20.jpg,
